run_accession	sample_accession	sample_title	bioproject	role	arm	tissue	library_type	sex	age_class	subject_biopsy	super_pop	pop	library_layout	read_length	read_count	instrument_model	fastq_ftp	fastq_md5	fastq_bytes
SRR27179111	SAMN38766886	HAL405-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	young	HAL405-1B			PAIRED	101.0	56764075	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/011/SRR27179111/SRR27179111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/011/SRR27179111/SRR27179111_2.fastq.gz	bebe992607bacf84085904d1ad2e9b4f;a2becb3e88048ce6f1d06d51e2698a1d	1639909112;1762995754
SRR27179075	SAMN38766802	TOB905-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	female	older	TOB905-1B			PAIRED	101.0	65996766	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/075/SRR27179075/SRR27179075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/075/SRR27179075/SRR27179075_2.fastq.gz	f8bc2c6a29d4d900581aa07e1c1dc62a;50e91b7b3de86078af9d9c991ab22bfe	2057424215;2044767923
SRR27179220	SAMN38766789	WAL360-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	older	WAL360-1B			PAIRED	101.0	56506857	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/020/SRR27179220/SRR27179220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/020/SRR27179220/SRR27179220_2.fastq.gz	3a705e9f91bd50e01b58d43220ca7142;ce1731efd3b15a1972e1bacb6a482db6	1683371296;1796310036
SRR27179144	SAMN38766919	CUR267-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	female	young	CUR267-1B			PAIRED	101.0	64948002	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/044/SRR27179144/SRR27179144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/044/SRR27179144/SRR27179144_2.fastq.gz	efd270b7df1fc7caf2c8a75c7f22a186;a9913083f7fa3304ad606f559d18fb42	1929561274;2086232628
SRR27179168	SAMN38766847	PAR397-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	older	PAR397-1B			PAIRED	101.0	56101991	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/068/SRR27179168/SRR27179168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/068/SRR27179168/SRR27179168_2.fastq.gz	5411d1fb562fd9753b7c5649623e7205;162387a4da2c36bcff16b3451af92070	1692362926;1786169553
SRR27179146	SAMN38766921	COR775-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	female	older	COR775-1B			PAIRED	101.0	54928315	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/046/SRR27179146/SRR27179146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/046/SRR27179146/SRR27179146_2.fastq.gz	44cc7296af571d123c75362b7bcc7e35;e9f78a4f67cf8c083381910e44ea04cd	1632421461;1772200362
SRR27179251	SAMN38766964	AFZ519-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	young	AFZ519-1B			PAIRED	101.0	57927336	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/051/SRR27179251/SRR27179251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/051/SRR27179251/SRR27179251_2.fastq.gz	26aeea79442ccefae73d20512c52e855;39ca037ea8ac1d2589cb24e72275e125	1720267534;1780053310
SRR27179084	SAMN38766811	SOR358-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	female	young	SOR358-1B			PAIRED	101.0	68833517	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/084/SRR27179084/SRR27179084_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/084/SRR27179084/SRR27179084_2.fastq.gz	3fee5dd7d23f05c7921d07b98240a34b;24a629f7a47e19c8c218e87caf569f4f	2306931526;2106949468
SRR27179201	SAMN38766952	BEC999-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	older	BEC999-1B			PAIRED	101.0	63637561	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/001/SRR27179201/SRR27179201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/001/SRR27179201/SRR27179201_2.fastq.gz	f38fad1391e81bb94c3383804a91699d;93c9b17f35392a8c722a1518964c424b	1915701077;1963971565
SRR27179097	SAMN38766872	HOO917-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	female	older	HOO917-1B			PAIRED	101.0	49720867	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/097/SRR27179097/SRR27179097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/097/SRR27179097/SRR27179097_2.fastq.gz	3df408c03d627a723bac5855b753ea44;d050e1a7e7ddaabda3808cad5bf8a4c3	1504581583;1613849632
SRR27179196	SAMN38766947	BER395-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	young	BER395-1B			PAIRED	101.0	58137553	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/096/SRR27179196/SRR27179196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/096/SRR27179196/SRR27179196_2.fastq.gz	d0b6404ca96581f7906d160d6a81f9d4;73a6748dc4e7a736e2dc6e20fde21524	2001121130;1823110442
SRR27179118	SAMN38766821	SEN231-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	female	young	SEN231-1B			PAIRED	101.0	49062369	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/018/SRR27179118/SRR27179118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/018/SRR27179118/SRR27179118_2.fastq.gz	6f09e922ab7a3c92f09b753db8fbf3cc;740ff7000ff589a81bcacb687aabd782	1536742241;1562618282
SRR27179229	SAMN38766894	EGG745-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	older	EGG745-1B			PAIRED	101.0	50377020	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/029/SRR27179229/SRR27179229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/029/SRR27179229/SRR27179229_2.fastq.gz	aec9c551fa1dd587fe047bc55d39d7c7;a0a475d244690ea86d7db28ae08955ed	1554671099;1551957137
SRR27179238	SAMN38766903	DOW515-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	young	DOW515-1B			PAIRED	101.0	45102775	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/038/SRR27179238/SRR27179238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/038/SRR27179238/SRR27179238_2.fastq.gz	4720a9c3942e5e28e0624c68e51e2a78;8e6016b60d321baa86e44f0591d7f99d	1347116162;1436252060
