run_accession	sample_accession	sample_title	bioproject	role	arm	tissue	library_type	sex	age_class	subject_biopsy	super_pop	pop	library_layout	read_length	read_count	instrument_model	fastq_ftp	fastq_md5	fastq_bytes
ERR188096	SAMEA1573337	NA18933	PRJEB3366	primary	low_mt	lcl	polyA	female	adult		AFR	YRI	PAIRED	75.0	23496405	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188096/ERR188096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188096/ERR188096_2.fastq.gz	d7c1a8517d6cf1cb3553349bb3d4932a;a7ec21a34cebd9a61cd3708546a8fa34	1777041806;1791524358
ERR188061	SAMEA1573252	NA12761	PRJEB3366	primary	low_mt	lcl	polyA	female	adult		EUR	CEU	PAIRED	75.0	29959483	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188061/ERR188061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188061/ERR188061_2.fastq.gz	2f48c2eaa43b5457e546d7f9a9b892b0;6facf7fd65abadf9a9682c0ce5fe1642	2080330902;2097624397
ERR188055	SAMEA1573329	NA19171	PRJEB3366	primary	low_mt	lcl	polyA	male	adult		AFR	YRI	PAIRED	75.0	36073736	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188055/ERR188055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188055/ERR188055_2.fastq.gz	8ddf5a3b5f07b5f923401bd8f2f38096;effdbf165d4df37093d2eb88c633898b	2533441394;2546606644
ERR188065	SAMEA1573084	HG00149	PRJEB3366	primary	low_mt	lcl	polyA	male	adult		EUR	GBR	PAIRED	75.0	30871023	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188065/ERR188065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188065/ERR188065_2.fastq.gz	7788d2fd0fc8574c3462f83c8f769d31;5de44bdb5011ff2bccf5415b0a7ecc0c	2200351902;2231455619
ERR188451	SAMEA1573426	NA19149	PRJEB3366	primary	low_mt	lcl	polyA	female	adult		AFR	YRI	PAIRED	75.0	26449911	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188451/ERR188451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188451/ERR188451_2.fastq.gz	9bd6ea142d242c9f021206f59ccdcc1c;f7b23e208ffec29928c0692496074a18	1997755187;2015725104
ERR188409	SAMEA1573243	NA18923	PRJEB3366	primary	low_mt	lcl	polyA	male	adult		AFR	YRI	PAIRED	76.0	31415733	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188409/ERR188409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188409/ERR188409_2.fastq.gz	f07f299de263964511203f1a0a1f5432;b96f1592d5d9465b591258795b1d3ae9	2384900664;2398191554
ERR188331	SAMEA1573458	NA12155	PRJEB3366	primary	low_mt	lcl	polyA	male	adult		EUR	CEU	PAIRED	75.0	22168918	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188331/ERR188331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188331/ERR188331_2.fastq.gz	e16891fb5fd255c197b5fed7c616080e;5e884f307be8f33da205599208385a3d	1603985835;1604675792
ERR188351	SAMEA1573322	HG00253	PRJEB3366	primary	low_mt	lcl	polyA	female	adult		EUR	GBR	PAIRED	75.0	34599469	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188351/ERR188351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188351/ERR188351_2.fastq.gz	71f2bd87d1e5d884a03f6877d30b0651;3161f919ed489543435f89f3b1584c17	2468368525;2472663257
ERR188414	SAMEA1573114	NA12043	PRJEB3366	primary	low_mt	lcl	polyA	male	adult		EUR	CEU	PAIRED	76.0	29429366	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188414/ERR188414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188414/ERR188414_2.fastq.gz	4a9ae2ea49c5350effc4fadd48328215;4ecb7dd0d1c0121d3863cf0328ae1135	1908721061;1896642684
ERR188043	SAMEA1573132	HG00384	PRJEB3366	primary	low_mt	lcl	polyA	female	adult		EUR	FIN	PAIRED	76.0	41065233	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188043/ERR188043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188043/ERR188043_2.fastq.gz	01efc176764853aed69851e29adf31d2;4ccd953d0e2ae6e62b40c42614acb1ed	2972274180;2990091795
