run_accession	mapq_min	mean_rel_delta	max_rel_delta	positions_ge_5pct	tissue	role
ERR188039	0	0.14308888601040565	10.598797355264091	2754	lcl	primary
ERR188039	255	0.22024076553304273	11.308045016294615	3362	lcl	primary
ERR188043	0	0.14769187577191623	12.701727832795354	2688	lcl	primary
ERR188043	255	0.2483966928518565	13.20434734493008	3273	lcl	primary
ERR188044	0	0.24863841504414474	15.429758881177966	3265	lcl	primary
ERR188044	255	0.48517342794283175	27.12351448229913	3805	lcl	primary
ERR188045	0	0.14631037359923119	12.456227111289703	2718	lcl	primary
ERR188045	255	0.23643186550059614	13.273682548905112	3243	lcl	primary
ERR188047	0	0.15080645055238687	11.933455202378552	2719	lcl	primary
ERR188047	255	0.24212855475774867	12.532067838945418	3322	lcl	primary
ERR188055	0	0.10472664657692556	6.840934306355739	2889	lcl	primary
ERR188055	255	0.16400575682676	7.5141443779029595	3753	lcl	primary
ERR188061	0	0.15657977423121244	13.12455071823371	2703	lcl	primary
ERR188061	255	0.24027392666705358	13.963632939118881	3360	lcl	primary
ERR188065	0	0.11568445274645178	8.61808657572036	2819	lcl	primary
ERR188065	255	0.17765420104442461	9.539181416359403	3472	lcl	primary
ERR188096	0	0.22163301000379415	12.475458061532018	3339	lcl	primary
ERR188096	255	0.40887759789842665	17.36921497892304	3873	lcl	primary
ERR188097	0	0.20295766050278846	14.028402820063697	3031	lcl	primary
ERR188097	255	0.3675544233796059	22.304788707684263	3796	lcl	primary
ERR188099	0	0.15617190107659942	13.63916158752175	2673	lcl	primary
ERR188099	255	0.2508445422273189	13.869501352627704	3261	lcl	primary
ERR188122	0	0.13598653977378639	10.634537568547309	2705	lcl	primary
ERR188122	255	0.22585484216602025	11.171293042407969	3305	lcl	primary
ERR188158	0	0.1750599545861542	14.815928018033318	2604	lcl	primary
ERR188158	255	0.271898299900714	16.77150480857986	3386	lcl	primary
ERR188214	0	0.23861089151890183	14.286586077030103	3386	lcl	primary
ERR188214	255	0.44338004524792185	21.380185402344857	3930	lcl	primary
ERR188225	0	0.20524330738700552	13.862375643166402	3092	lcl	primary
ERR188225	255	0.35664979900173127	36.0940291851885	3807	lcl	primary
ERR188292	0	0.21683638927129012	14.917969527337116	3149	lcl	primary
ERR188292	255	0.38665840955313485	22.577295148229634	3846	lcl	primary
ERR188300	0	0.1450461920952791	11.161356441016789	2790	lcl	primary
ERR188300	255	0.2220120007388304	11.537073144072592	3417	lcl	primary
ERR188311	0	0.1655874483613069	13.253092589726924	2822	lcl	primary
ERR188311	255	0.24221187614055456	13.652712008130479	3477	lcl	primary
ERR188322	0	0.22579773749110238	12.534655210014739	3271	lcl	primary
ERR188322	255	0.3938619659757214	22.270066714179872	3945	lcl	primary
ERR188325	0	0.16117606601362633	16.685852613308207	2717	lcl	primary
