region	depth_indel_reads	depth_clean_reads	alt_from_indel_reads	alt_from_clean_reads	alt_rate_indel_reads	alt_rate_clean_reads	enrichment	frac_reads_with_indel	overall_alt_rate	frac_alt_carried_by_indel_reads
co1_control	7545	4977437	3	1158	0.00039761431411530816	0.00023264985573900784	1.7090675291944362	0.0015135460870269943	0.00023289953704948182	0.002583979328165375
poly_c_hvs1	72205	3671495	776	5432	0.0107471781732567	0.0014795063046524645	7.264029993965594	0.01928706894249005	0.0016582525309186099	0.125
poly_c_hvs2	863904	653788	4037	19114	0.0046729729229173615	0.029235776734966076	0.15983748149671947	0.569222213729795	0.01525408317366106	0.1743769167638547
rnr2_control	15519	6332744	12	3266	0.0007732456988208003	0.0005157322007647869	1.4993163073279945	0.0024446057134053837	0.0005163617197334137	0.0036607687614399025
